,nsecode
0,SANOFI
1,PERSISTENT
2,BAJAJ-AUTO
3,VSTTILLERS
4,ROLEXRINGS
5,ECLERX
6,SHRIRAMFIN
7,AJANTPHARM
8,GODREJPROP
9,INDUSINDBK
10,SHAREINDIA
11,POLYMED
12,METROBRAND
13,HCLTECH
14,RANEHOLDIN
15,LUPIN
16,CAPLIPOINT
17,VBL
18,KPIGREEN
19,ERIS
20,TCI
21,ALBERTDAVD
22,TITAGARH
23,KKCL
24,RKFORGE
25,GPIL
26,CHALET
27,SPAL
28,TECHNOE
29,LINCOLN
30,KIRLOSENG
31,BANCOINDIA
32,INDNIPPON
33,DOLLAR
34,CHOICEIN
35,BALRAMCHIN
36,HITECHGEAR
37,WINDLAS
38,NRAIL
39,CSLFINANCE
40,MINDACORP
41,ASTERDM
42,HUHTAMAKI
43,WELENT
44,SSWL
45,BHARATWIRE
46,EXIDEIND
47,SAGCEM
48,TIMETECHNO
49,KCP
50,GAIL
51,MARKSANS
52,ORIENTHOT
53,GALLANTT
54,GATEWAY
55,CLEDUCATE
56,PARACABLES
57,RTNINDIA
