,nsecode
0,SANOFI
1,ALKEM
2,ROLEXRINGS
3,SHRIRAMFIN
4,AJANTPHARM
5,GODREJPROP
6,INDUSINDBK
7,POLYMED
8,HCLTECH
9,VBL
10,ERIS
11,TCI
12,DHANUKA
13,TECHNOE
14,INDNIPPON
15,DOLLAR
16,CHOICEIN
17,CHEMBOND
18,BALRAMCHIN
19,HITECHGEAR
20,WINDLAS
21,NRAIL
22,CSLFINANCE
23,MINDACORP
24,ASTERDM
25,TDPOWERSYS
26,EXIDEIND
27,SAGCEM
28,CAPACITE
29,GAIL
30,MARKSANS
31,GATEWAY
32,ISMTLTD
