,nsecode,Holding score,Holding no
0,GARFIBRES,0.41239,0.043
1,BAJAJFINSV,0.43342,-0.226
2,NOVARTIND,0.32802,-0.002
3,BALRAMCHIN,0.15363,0.146
4,GRANULES,0.49594,0.002
5,KNRCON,-0.06711,-0.027
6,DBOL,0.0,0.0
