,nsecode
0,BAJFINANCE
1,BAJAJ-AUTO
2,ROLEXRINGS
3,SHRIRAMFIN
4,PHOENIXLTD
5,ECLERX
6,M&M
7,ACCELYA
8,INDUSINDBK
9,SHAREINDIA
10,SASKEN
11,XPROINDIA
12,VBL
13,BHARTIARTL
14,MASFIN
15,DHANUKA
16,GESHIP
17,ERIS
18,KPRMILL
19,KKCL
20,KEC
21,KSCL
22,ICICIPRULI
23,INDNIPPON
24,CGPOWER
25,BALRAMCHIN
26,KRBL
27,CHOICEIN
28,SANGAMIND
29,CSLFINANCE
30,SDBL
31,SOTL
32,CSBBANK
33,KNRCON
34,SREEL
35,SGIL
36,DEVYANI
37,LOKESHMACH
38,KITEX
39,HILTON
40,MUNJALSHOW
41,CONSOFINVT
42,KARURVYSYA
43,NAHARINDUS
44,TATASTEEL
45,GAIL
46,GATEWAY
