,nsecode,Holding score,Holding no
0,BAJFINANCE,0.06494,-0.036
1,BAJAJ-AUTO,0.01031,0.102
2,ROLEXRINGS,0.0,-0.0
3,ECLERX,0.16263,-0.398
4,M&M,0.00255,0.019
5,INDUSINDBK,0.02296,-0.022
6,BHARTIARTL,0.08108,0.091
7,GESHIP,-0.00193,-0.158
8,ICICIPRULI,0.18346,0.007
9,360ONE,3.04336,-0.283
10,BALRAMCHIN,0.15363,0.146
11,HILTON,,-0.068
12,CONSOFINVT,0.0,0.0
